,Years,NLU
0,1950,371.98351535
1,1951,372.25036306
2,1952,372.54565234
3,1953,373.61436061
4,1954,374.19752636
5,1955,374.82729641
6,1956,386.30812794
7,1957,386.82467233
8,1958,387.33361642
9,1959,387.95308067
10,1960,425.9539518
11,1961,426.54325432
12,1962,427.41884017
13,1963,506.77967918
14,1964,589.2176848
15,1965,581.83690646
16,1966,608.97525943
17,1967,621.29043255
18,1968,539.0176232
19,1969,848.28154468
20,1970,902.97226051
21,1971,995.22707843
22,1972,1147.35119957
23,1973,1141.24676829
24,1974,1005.40080977
25,1975,1010.41448901
26,1976,1046.52378235
27,1977,1088.73044888
28,1978,1129.33448394
29,1979,1168.26278705
30,1980,1217.45214776
31,1981,1274.08748365
32,1982,1210.60777064
33,1983,1317.28836312
34,1984,1353.5809827
35,1985,1509.20982414
36,1986,1576.54647393
37,1987,1700.8888226
38,1988,1694.18562137
39,1989,1447.50867651
40,1990,1252.81427276
41,1991,2097.78029988
42,1992,2288.90063502
43,1993,2355.42590084
44,1994,2194.87248135
45,1995,2332.17169518
46,1996,1786.25021004
47,1997,2637.04631752
48,1998,2050.8443403
49,1999,1809.045993
50,2000,2597.20606885
51,2001,2895.1948477
52,2002,3050.61493606
53,2003,2772.60971498
54,2004,2715.09519851
55,2005,3276.18020076
56,2006,3512.31426702
57,2007,2833.89068657
58,2008,3099.24949911
59,2009,3137.53525392
60,2010,2794.5766845
61,2011,2597.93791895
62,2012,2711.39208741
63,2013,2649.47140044
64,2014,3343.89828359
65,2015,3318.40420491
66,2016,2623.61761846
67,2017,3175.37926395
68,2018,3325.52801409
69,2019,2717.57881169
70,2020,2883.9692868
